,ROC AUC Avg,ROC AUC Std,Balanced Accuracy Avg,Balanced Accuracy Std,F1 Score Avg,F1 Score Std,F0 Score Avg,F0 Score Std,AU-PR-C Avg,AU-PR-C Std,Precision 1 Avg,Precision 1 Std,Recall 1 Avg,Recall 1 Std
rf_model,0.7989972974227197,0.015204306390940782,0.706310828104344,0.023768919509472696,0.5929022737390289,0.05715837166870742,0.7988416542298136,0.011984864549310999,0.7735733785947518,0.017729773568353497,0.8296726934664914,0.01166462902380879,0.4947045393267436,0.062408443970489794
gradient_boosting_model,0.7788482465174859,0.011419243214746237,0.7017311383933451,0.020664730923046225,0.6072203851455371,0.03786556722207994,0.7842782354489239,0.013270258153991368,0.7478602428669868,0.020258354054419187,0.7762973538362148,0.024562646548572504,0.5214772612463703,0.05034838713342704
lr_model,0.6735025527367633,0.0233223342974635,0.6199512420692703,0.023500852036660528,0.5553789220937653,0.026891848186703562,0.6671306926618887,0.0336802185964545,0.6172829933136121,0.02197464528502189,0.5814480951653005,0.039146276426730596,0.5552267822460529,0.053621153196852754
mlp_model,0.7445201018323189,0.026044896137475296,0.6751245038482012,0.025605660749301516,0.6047864391662483,0.0453904233166034,0.7392105155188784,0.01742671247104579,0.7024451671389638,0.01667078333440932,0.6727997370818207,0.016533028200387496,0.5653876786034719,0.06759115858845145
knn_model,0.8080807458214817,0.009451796183218859,0.747852478309278,0.009951900765450645,0.7141080362037016,0.012549681339660279,0.7793931523754294,0.014985102555750737,0.7853092719510254,0.015351579731703808,0.7147902316905398,0.019482341028188115,0.7199109797465942,0.030255736391608574
gaussianNB_model,0.6963621527578551,0.03634205702717891,0.631594055549599,0.03858724605749964,0.5040776831410443,0.10024229414637974,0.733143579405991,0.017835410758818022,0.684522420053083,0.04256324467223738,0.6812349139260424,0.04146142942145567,0.43325476475251107,0.1124137644807204
