,ROC AUC Avg,ROC AUC Std,Balanced Accuracy Avg,Balanced Accuracy Std,F1 Score Avg,F1 Score Std,F0 Score Avg,F0 Score Std,AU-PR-C Avg,AU-PR-C Std,Precision 1 Avg,Precision 1 Std,Recall 1 Avg,Recall 1 Std
rf_model,0.40125781260174953,0.019813000078149526,0.5020006320606379,0.0015615148190491947,0.02016513463186145,0.02555161485226525,0.7128481953524494,0.010871823073773103,0.39825027028689586,0.014332018443058644,0.3791390238708151,0.15470793872348407,0.01320615772277201,0.021542890233615358
gradient_boosting_model,0.7686719162102897,0.011209858539474819,0.6876652688997915,0.020240319745196248,0.6010433699632809,0.030791854278505768,0.7599650231713695,0.015523739140809916,0.727479421629994,0.020223484792708305,0.7309914110530737,0.015955031155381466,0.5368797958341656,0.040075507516502656
lr_model,0.6691356951712235,0.024596616420656532,0.6265442490067631,0.021750386123063868,0.5364481549795186,0.04395345521135157,0.6922897208702571,0.021500663403734965,0.6099658306647767,0.01967182310149331,0.619261840449299,0.015364491880653539,0.507629655244296,0.070637515976146
mlp_model,0.746013057542229,0.017909067482766983,0.6854257481988943,0.01341023705847415,0.631201884592661,0.018413820258046006,0.7350960477100942,0.015912871761554558,0.6980948335275825,0.021407842167897,0.6690793981063066,0.02096578791247961,0.6094826709956197,0.03433882747824616
knn_model,0.7501674833668502,0.024585754846271356,0.6915568262922123,0.02170603957847965,0.628849020010614,0.026766775892591462,0.7453955884790675,0.01615996645599212,0.721795293755882,0.026066050341358782,0.6829132730371386,0.018776663182750546,0.5953850800015619,0.041328562773550716
gaussianNB_model,0.6526409337389782,0.0181200999220232,0.6209107208389961,0.01293236260143443,0.5510586096117326,0.022839864290493964,0.6730720400458987,0.022179761627826852,0.5787560516212442,0.01663141298632906,0.5864149250201407,0.016783257536810335,0.5463640406307732,0.03795070609981045
