,Model,train_data,test_data,Balanced Accuracy Avg,Balanced Accuracy Std,ROC AUC Avg,ROC AUC Std,F1 Score Avg,F1 Score Std,F0 Score Avg,F0 Score Std,AU-PR-C Avg,AU-PR-C Std,Precision 1 Avg,Precision 1 Std,Recall 1 Avg,Recall 1 Std
0,gradient_boosting_model,AZ ELN 2023,Outter Clusters,0.5232001727659922,0.014596926759492332,0.45460870402722015,0.007003905736730236,0.6202515983287814,0.013804505218473404,0.2008745155805245,0.020501955934875454,0.41532161183272337,0.006370922919533667,0.46581236694534306,0.011633552956993547,0.9281018162891881,0.019935862603142653
1,gaussianNB_model,Dreher 2014,Outter Clusters,0.4733318706601805,0.012116357150507963,0.48478371835428313,0.01736098555549466,0.4470029013876697,0.016047047385771493,0.47590796145043973,0.03634891867260956,0.5381155877354622,0.014291773819770221,0.3846038705356716,0.018840934783661833,0.5339630175456834,0.012669290390167566
2,gaussianNB_model,Dreher 2016,Outter Clusters,0.5834942640752234,0.00833531407651653,0.5983610680212793,0.009438920459081682,0.5913061475731393,0.016252971649252657,0.5565023845233957,0.009963155820782913,0.6622646142046889,0.01725005798937826,0.5252434682865808,0.02577244373837499,0.6773042535815296,0.006443439368445697
3,rf_model,Dreher Doyle 2018,Outter Clusters,0.49961380846686115,0.0006177714148303534,0.5427902925318253,0.0027739262641573044,0.5575276120148323,0.0006929949637891577,0.0006092060650908649,0.001976524867964182,0.4320914596424217,0.007237229616849508,0.3866702635367982,0.0004928174139796907,0.9989205896942656,0.0020417722206788544
4,rf_model,HiTEA 2024,Outter Clusters,0.5384111701679163,0.01898323133742588,0.5509463496155415,0.019288013261503763,0.6287330048146588,0.03564189392279635,0.3709925216211676,0.11951949870221494,0.5458628220360843,0.03593892826704596,0.5353563926983247,0.0347369279594783,0.7776064097623797,0.11380471896450779
5,gradient_boosting_model,JNJ HTE 2024,Outter Clusters,0.5998745385894382,0.011139536212197357,0.6147510326311029,0.010020515579596252,0.6767194578031339,0.03631906413812643,0.4971470681243246,0.0386464554633286,0.6096404284579692,0.010593559547244457,0.5945618000639358,0.009072350500038595,0.7901963649684989,0.08486803368786847
6,gaussianNB_model,Merck 2025,Outter Clusters,0.5937773899335447,0.00024528992652674475,0.6322350841265434,0.0002561095321234625,0.5923637639613264,0.00013334253996448586,0.5682427072349726,0.0003600420983102665,0.5482406098580782,0.00020541601695243478,0.5147194434082953,0.0003241002019137796,0.697594867528288,0.0003749851480642861
7,gradient_boosting_model,Roche 2023,Outter Clusters,0.5376077184933146,0.006224181226646905,0.542531446913125,0.008754388108389353,0.46384065335179864,0.008837039304341706,0.6091364301780904,0.006915831168885612,0.47528766294054314,0.012763524611074623,0.4965412772843681,0.012839067873622366,0.4353714799366726,0.010162207548689113
