,Model,Train Data,Features,ROC AUC Avg,ROC AUC Std,Balanced Accuracy Avg,Balanced Accuracy Std,F1 Score Avg,F1 Score Std,F0 Score Avg,F0 Score Std,AU-PR-C Avg,AU-PR-C Std,Test Data
0,gaussianNB_model,Chem.S.23,DRFP,0.4993882834522498,0.0011445781628785,0.4993882834522497,0.0011445781628785,0.6216559087453513,0.0053568729683872,0.0235789686627069,0.0060195221156215,0.7232837355858666,0.003234751612689,DRFP OOD Clusters - S.R.
1,gaussianNB_model,Sci.15,PhysChem,0.4847837183542831,0.0173609855554946,0.4733318706601805,0.0121163571505079,0.4470029013876697,0.0160470473857714,0.4759079614504397,0.0363489186726095,0.5381155877354622,0.0142917738197702,DRFP OOD Clusters - S.R.
2,gaussianNB_model,Chem.S.16,PhysChem,0.5983610680212793,0.0094389204590816,0.5834942640752234,0.0083353140765165,0.5913061475731393,0.0162529716492526,0.5565023845233957,0.0099631558207829,0.6622646142046889,0.0172500579893782,DRFP OOD Clusters - S.R.
3,rf_model,Sci.18,PhysChem,0.5427902925318253,0.0027739262641573,0.4996138084668611,0.0006177714148303,0.5575276120148323,0.0006929949637891,0.0006092060650908,0.0019765248679641,0.4320914596424217,0.0072372296168495,DRFP OOD Clusters - S.R.
4,gaussianNB_model,Nat.C.24,DRFP,0.525036192194736,0.0026277697911723,0.5250361921947357,0.0026277697911723,0.6041732174027661,0.0108384913016608,0.4094404673874924,0.0117601609329965,0.6907184346437931,0.0097747502084224,DRFP OOD Clusters - S.R.
5,knn_model,JnJ25,DRFP,0.6489180771315588,0.0092548037153107,0.6208977974613166,0.0091717368181445,0.639962866179158,0.0176678670417194,0.6012741176798593,0.017560472641212,0.7227793147810565,0.0158367680168868,DRFP OOD Clusters - S.R.
6,gaussianNB_model,JACS.25,PhysChem,0.6322350841265434,0.0002561095321234,0.5937773899335447,0.0002452899265267,0.5923637639613264,0.0001333425399644,0.5682427072349726,0.0003600420983102,0.5482406098580782,0.0002054160169524,DRFP OOD Clusters - S.R.
7,knn_model,Sci.23,DRFP,0.5084559166121997,0.0018022669187974,0.4953074006581479,0.0016080556630702,0.570211370168596,0.0062571084353468,0.2985227675528756,0.0049232120016068,0.5775221274177331,0.0059117738794723,DRFP OOD Clusters - S.R.
