,Model,train_data,test_data,Balanced Accuracy Avg,Balanced Accuracy Std,ROC AUC Avg,ROC AUC Std,F1 Score Avg,F1 Score Std,F0 Score Avg,F0 Score Std,AU-PR-C Avg,AU-PR-C Std,Precision 1 Avg,Precision 1 Std,Recall 1 Avg,Recall 1 Std
0,gaussianNB_model,AZ ELN 2023,Outter Clusters,0.4993882834522497,0.0011445781628785787,0.49938828345224984,0.0011445781628785876,0.6216559087453513,0.005356872968387247,0.023578968662706912,0.006019522115621564,0.7232837355858666,0.0032347516126890294,0.4538393326343577,0.005457340799413408,0.9866651536416532,0.005372799511467761
1,knn_model,Dreher 2014,Outter Clusters,0.5018131895088872,0.0016140898655328875,0.4654296016283797,0.010833848141373757,0.08318225042292163,0.011996355933512823,0.7291993371079328,0.0115567905075094,0.40017966005927336,0.0166396270242153,0.4281187740307379,0.024302900930337205,0.04619975016599515,0.0070427203844702965
2,mlp_model,Dreher 2016,Outter Clusters,0.5180128348411691,0.0011816450511316478,0.5189837264499186,0.004632028332472167,0.23390284506299847,0.004312162927349483,0.6704948516877598,0.010399227873396533,0.505551360674557,0.010663896196008547,0.5514996581302252,0.008981976780519941,0.1539593380440027,0.0035620372592378036
3,lr_model,Dreher Doyle 2018,Outter Clusters,0.5033172724648642,1.1102230246251565e-16,0.5029219320900504,4.915573631649382e-07,0.5555623358698891,0.0,0.05574244593622164,1.3877787807814457e-17,0.394809226125485,8.961967224983238e-07,0.38804831814215257,0.0,0.9775587822351881,2.220446049250313e-16
4,gaussianNB_model,HiTEA 2024,Outter Clusters,0.5250361921947357,0.0026277697911723645,0.525036192194736,0.0026277697911723406,0.6041732174027661,0.01083849130166085,0.4094404673874924,0.01176016093299651,0.6907184346437931,0.009774750208422453,0.5210949785371662,0.013206978089167565,0.7193203126323283,0.007900448226391608
5,knn_model,JNJ HTE 2024,Outter Clusters,0.6208977974613166,0.009171736818144541,0.6489180771315588,0.009254803715310764,0.639962866179158,0.017667867041719403,0.6012741176798593,0.017560472641212056,0.7227793147810565,0.01583676801688681,0.6230614336165218,0.011311795927843381,0.6591205034539309,0.026849450409600413
6,knn_model,Merck 2025,Outter Clusters,0.4531022936300011,9.752170916138969e-05,0.44345439166314904,0.00011463913366028873,0.38442755959774616,8.898953077958319e-05,0.5218114873508499,0.00010153806884810188,0.41730084400675704,0.00021985487621267898,0.3837495330523451,0.0002699622046849358,0.38510845669224586,0.0001420105088709309
7,knn_model,Roche 2023,Outter Clusters,0.49530740065814793,0.0016080556630702768,0.5084559166121997,0.0018022669187974217,0.570211370168596,0.006257108435346847,0.29852276755287566,0.004923212001606844,0.5775221274177331,0.005911773879472399,0.4481496699342939,0.008294904965832002,0.7839388012880322,0.0020813317367791013
