,ROC AUC Avg,ROC AUC Std,Balanced Accuracy Avg,Balanced Accuracy Std,F1 Score Avg,F1 Score Std,F0 Score Avg,F0 Score Std,AU-PR-C Avg,AU-PR-C Std,Precision 1 Avg,Precision 1 Std,Recall 1 Avg,Recall 1 Std
rf_model,0.6656175610462581,0.04345604119072889,0.6135185378797506,0.03692236398362964,0.3835527859188161,0.10766754000382173,0.7454345041394299,0.017363651441925202,0.6389837176196222,0.050859830835218056,0.763175863263519,0.05057988814194744,0.29755510184893497,0.09374941653506833
gradient_boosting_model,0.6631670199223436,0.03295743236493987,0.609180501188525,0.03189454457833491,0.44771729097086643,0.08468376861558745,0.7174941380735378,0.016009699962551065,0.6281293265786887,0.04412077315274476,0.6339164395906007,0.040509109536399523,0.3811408595866813,0.09747687551858637
lr_model,0.5102047220918475,0.023441719857899654,0.5213115307748476,0.020271411796542845,0.42243490006805573,0.05947660530556317,0.5695028747654061,0.03292637219364355,0.4532798643245252,0.020205721336211884,0.4537278019394314,0.03019305490587815,0.4436742247284114,0.08910525744127479
mlp_model,0.5660902833381902,0.03839556673106511,0.555571089618098,0.023973054320501577,0.3837555697820494,0.07465658516323924,0.6507444469852459,0.033385415655420685,0.5437849088219371,0.04056779294736286,0.5132768575133992,0.05724929211966393,0.3510270805644916,0.0750365159099136
knn_model,0.6519041642728473,0.03041745882790024,0.6214405987073758,0.02180082466936302,0.6004651166759423,0.033904518039926675,0.6076548514391814,0.028945695866589596,0.6275091501708816,0.029600520882751648,0.5582330058772378,0.020418386741574885,0.6792041962656639,0.053212880963867865
gaussianNB_model,0.5425649666092435,0.024641905076846077,0.5252914234212567,0.02486930760854576,0.2757518936606995,0.09098384395789019,0.6300870631973533,0.026869480509603617,0.569337317230508,0.03807147926487463,0.5881202682291254,0.05842166379639581,0.26860438400975256,0.08446340940621731
