,ROC AUC Avg,ROC AUC Std,Balanced Accuracy Avg,Balanced Accuracy Std,F1 Score Avg,F1 Score Std,F0 Score Avg,F0 Score Std,AU-PR-C Avg,AU-PR-C Std,Precision 1 Avg,Precision 1 Std,Recall 1 Avg,Recall 1 Std
rf_model,0.4434228833106185,0.025863369610454066,0.4999256463574245,0.0026351024253915313,0.009654710269668314,0.016698833691097006,0.7308945449921158,0.022808611505453914,0.3875979276532353,0.02347473326458443,0.17581464806033714,0.14750041704508404,0.005258499641729082,0.009372100457837193
gradient_boosting_model,0.49182696247756363,0.02655640369369509,0.5116860793509559,0.020160824576438856,0.2975910715018104,0.06757105892605945,0.6592249582802183,0.022683384220570684,0.42205590275322075,0.03397058776975821,0.42953352146171986,0.04016736353694091,0.2544744854731771,0.07224167589015373
lr_model,0.4966653742997691,0.018216913968529324,0.49035401162937564,0.016620217869497998,0.3120192999523874,0.05804508201838694,0.6242859072733842,0.039266711154068885,0.408970433982632,0.024947043229074276,0.39782820336495894,0.02561646908067926,0.2799484783230151,0.07396680499899376
mlp_model,0.47764506054109124,0.027074051601474892,0.487179368056921,0.02137918936809066,0.42751120196659453,0.053101103666343324,0.4979124895522606,0.051033249369295194,0.4068669532379511,0.028292955554777025,0.3985972222564559,0.02576576435866593,0.5058365797276471,0.08466209314932936
knn_model,0.47134051140673716,0.01884572699891179,0.48779634994932913,0.014014907027433845,0.3550481592622857,0.04112540406274153,0.595837775135774,0.0247497457062993,0.4340681768326905,0.026723643916747947,0.39721925620903703,0.026014557296755975,0.34074760305987606,0.04891768496547693
gaussianNB_model,0.5815728859794285,0.04615888261739437,0.5555926093158993,0.030561717159442385,0.3706812289237884,0.082020510467433,0.6764125722729796,0.028291175160670055,0.4994020018861546,0.04917849787788382,0.5059447317246237,0.09310696214414992,0.33862340247573103,0.08671501533770493
